,Body,Passengers,Interior,Exterior,Wheels,Tires,Fuel,Basic,Powertrain,Engine,Horsepower,Transmission,Stock,VIN,Year,Make Model,Mileage,Highway,City,Price,Brand,Model,Liters,Cylinder,HP,TransType
"https://www.carvana.com/search/2000229483/2017-nissan-2.5-sv-sedan-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Sedan,5.0,Brilliant Silver,Charcoal,17 Alloy wheels,215-55,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 38 mos. 10,600 mi. left",2.5L I4,182 hp / 180 ft-lbs. torque,"Automatic, Xtronic CVT",2000229483,1N4AL3APXHC247017,2017,Nissan Altima,49190,39,27,13500,Nissan,Altima,2.5L,I4,182,auto
"https://www.carvana.com/search/2000229482/2017-nissan-2.5-sv-sedan-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Sedan,5.0,Brilliant Silver,Charcoal,17 Alloy wheels,215-55,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 37 mos. 11,800 mi. left",2.5L I4,182 hp / 180 ft-lbs. torque,"Automatic, Xtronic CVT",2000229482,1N4AL3AP9HC228412,2017,Nissan Altima,47979,39,27,14200,Nissan,Altima,2.5L,I4,182,auto
"https://www.carvana.com/search/2000229480/2017-nissan-2.5-sv-sedan-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Sedan,5.0,Gun Metallic,Charcoal,17 Alloy wheels,215-55,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 35 mos. 14,500 mi. left",2.5L I4,182 hp / 180 ft-lbs. torque,"Automatic, Xtronic CVT",2000229480,1N4AL3AP9HC183410,2017,Nissan Altima,45300,39,27,14100,Nissan,Altima,2.5L,I4,182,auto
"https://www.carvana.com/search/2000229479/2017-nissan-2.5-sv-sedan-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Sedan,5.0,GRAY,GRAY,16 Alloy wheels,135-70,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 34 mos. 10,700 mi. left",2.5L I4,182 hp / 180 ft-lbs. torque,"Automatic, Xtronic CVT",2000229479,1N4AL3AP5HC162795,2017,Nissan Altima,49041,39,27,13800,Nissan,Altima,2.5L,I4,182,auto
"https://www.carvana.com/search/2000229477/2017-nissan-2.5-sv-sedan-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Sedan,5.0,Storm Blue,Charcoal,17 Alloy wheels,215-55,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 41 mos. 13,600 mi. left",2.5L I4,182 hp / 180 ft-lbs. torque,"Automatic, Xtronic CVT",2000229477,1N4AL3AP1HC275613,2017,Nissan Altima,46184,39,27,14300,Nissan,Altima,2.5L,I4,182,auto
"https://www.carvana.com/search/2000228531/2015-mazda-grand-touring-sport-utility-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",SUV,5.0,Crystal White Pearl,Black,19 Alloy wheels,255-55,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; Expired",SKYACTIV-G 2.5L I4,184 hp / 185 ft-lbs. torque,"Auto, 6-Spd w/MM",2000228531,JM3KE4DY4F0469335,2015,Mazda CX-5,75890,30,24,17600,Mazda,CX-5,SKYACTIV-G,2.5L I4,184,auto
"https://www.carvana.com/search/2000228167/2015-gmc-denali-sport-utility-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",SUV,7.0,Carbon Black Metallic,Cocoa Dune,20 Alloy wheels,255-55,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 100,000 mi.; 12 mos. 66,800 mi. left",3.6L V6,288 hp / 270 ft-lbs. torque,"Automatic, 6-Spd",2000228167,1GKKRTKD0FJ252502,2015,GMC Acadia,32917,24,17,27600,GMC,Acadia,3.6L,V6,288,auto
"https://www.carvana.com/search/2000227224/2015-nissan-sl-sport-utility-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",SUV,7.0,SILVER,BLACK,18 Alloy wheels,235-65,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 11 mos. 12,700 mi. left",3.5L V6,260 hp / 240 ft-lbs. torque,"Automatic, CVT",2000227224,5N1AR2MN0FC612147,2015,Nissan Pathfinder,47007,27,20,20000,Nissan,Pathfinder,3.5L,V6,260,auto
"https://www.carvana.com/search/2000226960/2017-nissan-sl-sport-utility-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Wagon,5.0,Magnetic Black,Charcoal,18 Alloy wheels,225-60,Gas,"36 mo. / 36,000 mi.; 24 mos. 15,600 mi. left","60 mo. / 60,000 mi.; 48 mos. 39,600 mi. left",2.5L I4,170 hp / 175 ft-lbs. torque,"Auto, CVT Xtronic",2000226960,JN8AT2MT7HW407869,2017,Nissan Rogue,20118,33,26,21200,Nissan,Rogue,2.5L,I4,170,auto
"https://www.carvana.com/search/2000226799/2016-lexus-es-350-sedan-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Sedan,5.0,BLACK,Parchment w/Piano Black Trim,18 Alloy wheels,225-45,Gas,"48 mo. / 50,000 mi.; Expired","72 mo. / 70,000 mi.; 33 mos. 12,100 mi. left",3.5L V6,268 hp / 248 ft-lbs. torque,"Auto, 6-Spd Seq Shft",2000226799,JTHBK1GG2G2212813,2016,Lexus ES,57642,31,21,24400,Lexus,ES,3.5L,V6,268,auto
"https://www.carvana.com/search/2000226793/2017-hyundai-se-hatchback-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Hatchback,5.0,BLUE,BLACK,14 Alloy wheels,175-70,Gas,"60 mo. / 60,000 mi.; 36 mos. 17,600 mi. left","60 mo. / 60,000 mi.; 36 mos. 17,600 mi. left",1.6L I4,137 hp / 123 ft-lbs. torque,"Auto, 6-Spd w/Overdrive",2000226793,KMHCT5AE5HU315842,2017,Hyundai Accent,42173,36,26,11900,Hyundai,Accent,1.6L,I4,137,auto
"https://www.carvana.com/search/2000225230/2016-volkswagen-2.0t-gli-sel-sedan-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Sedan,5.0,Reflex Silver Metallic,Titan Black,18 Alloy wheels,225-40,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 23 mos. 32,900 mi. left",2.0L Turbo I4,210 hp / 207 ft-lbs. torque,Auto 6-Spd DSG Tptrnc Spt,2000225230,3VW4S7AJ4GM256013,2016,Volkswagen Jetta,26810,33,24,19600,Volkswagen,Jetta,2.0L,Turbo I4,210,auto
"https://www.carvana.com/search/2000219766/2015-volkswagen-tdi-sel-premium-sedan-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Sedan,5.0,SILVER,BLACK,18 Alloy wheels,235-45,Diesel,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 15 mos. 40,000 mi. left",2.0L Diesel Turbo I4,150 hp / 236 ft-lbs. torque,Auto 6-Spd DSG Tptrnc Spt,2000219766,1VWCV7A35FC071229,2015,Volkswagen Passat,19723,42,30,16900,Volkswagen,Passat,2.0L,Diesel Turbo I4,150,auto
"https://www.carvana.com/search/2000228468/2018-chevrolet-ls-sedan-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Sedan,5.0,Summit White,Jet Black,15 Alloy wheels,195-65,Gas,"36 mo. / 36,000 mi.; 22 mos. 31,200 mi. left","60 mo. / 60,000 mi.; 46 mos. 55,200 mi. left",1.4L Turbo I4,153 hp / 177 ft-lbs. torque,"Automatic, 6-Spd",2000228468,1G1BC5SM9J7144077,2018,Chevrolet Cruze,4501,30,40,16600,Chevrolet,Cruze,1.4L,Turbo I4,153,auto
"https://www.carvana.com/search/2000230466/2017-chevrolet-premier-sedan-4d-?sri=85ccb153-aebd-4355-b6a9-9e22b57c4634
",Sedan,5.0,Red Hot,Jet Black,17 Alloy wheels,205-50,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 35 mos. 15,600 mi. left",Ecotec 1.4L Turbo I4,138 hp / 148 ft-lbs. torque,"Automatic, 6-Spd",2000230466,1G1JF5SB2H4136397,2017,Chevrolet Sonic,44144,36,27,12100,Chevrolet,Sonic,Ecotec,1.4L Turbo I4,138,auto
