Sedan,5,BLACK,Charcoal,16 Steel with hub caps,205 55 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 23 mos. 30,600 mi. left",1.8L I4,130 hp / 128 ft-lbs. torque,"Automatic, CVT w/Xtronic",2000233395,3N1AB7AP8FY347483,2015,Nissan Sentra,"29,194 miles","39
HWY","29
CITY","$11,800"
SUV,5,Glacier Silver Metallic,Black,18 Alloy wheels,245 50 tires,Gas,"48 mo. / 50,000 mi.; Expired","48 mo. / 50,000 mi.; Expired",2.0L Turbo I4,240 hp / 260 ft-lbs. torque,"Auto, 8-Spd Stptrnc Spt",2000232738,5UXWX9C55G0D85553,2016,BMW X3,"57,910 miles","28
HWY","21
CITY","$24,900"
,,,,,,,,,,,,,,2016,INFINITI Q50,"34,246 miles",,,"$25,100"
Sedan,5,Silky Silver,Black,15 Alloy wheels,195 65 tires,Gas,"60 mo. / 60,000 mi.; 19 mos. 38,100 mi. left","60 mo. / 60,000 mi.; 19 mos. 38,100 mi. left",1.8L I4,145 hp / 130 ft-lbs. torque,"Auto, 6-Spd w/Sportmatic & Active ECO System",2000231785,KNAFK4A65G5438912,2016,Kia Forte,"21,684 miles","37
HWY","25
CITY","$12,800"
Sedan,5,Pure White,Black/Ceramique,17 Alloy wheels,225 45 tires,Gas,"36 mo. / 36,000 mi.; Expired","60 mo. / 60,000 mi.; 23 mos. 28,500 mi. left",1.8L Turbo I4,170 hp / 184 ft-lbs. torque,"Manual, 5-Spd",2000243886,3VWB17AJ0GM265835,2016,Volkswagen Jetta,"31,201 miles","37
HWY","25
CITY","$14,600"
,,,,,,,,,,,,,,2017,Kia Forte,"43,780 miles",,,"$12,500"
,,,,,,,,,,,,,,2018,Dodge Journey,"24,171 miles",,,"$19,200"
Sedan,5,Gun Metallic,Charcoal,16 Steel with hub caps,205 55 tires,Gas,"36 mo. / 36,000 mi.; 21 mos. 25,100 mi. left","60 mo. / 60,000 mi.; 45 mos. 49,100 mi. left",1.8L I4,130 hp / 128 ft-lbs. torque,"Auto, CVT w/Xtronic",2000240551,3N1AB7AP9HY374761,2017,Nissan Sentra,"10,669 miles","37
HWY","29
CITY","$14,700"
,,,,,,,,,,,,,,2018,Nissan Rogue,"16,268 miles",,,"$23,600"
,,,,,,,,,,,,,,2017,Nissan Rogue,"74,170 miles",,,"$14,200"
,,,,,,,,,,,,,,2018,Mitsubishi Outlander,"11,757 miles",,,"$20,200"
,,,,,,,,,,,,,,2016,INFINITI Q50,"34,246 miles",,,"$25,100"
,,,,,,,,,,,,,,2016,Chevrolet Malibu,"45,129 miles",,,"$15,100"
SUV,7,Midnight Garnet,Graphite,18 Alloy wheels,235 65 tires,Gas,"48 mo. / 60,000 mi.; 11 mos. 10,800 mi. left","72 mo. / 70,000 mi.; 35 mos. 20,800 mi. left",3.5L V6,265 hp / 248 ft-lbs. torque,"Auto, CVT Manual Spt",2000243644,5N1AL0MNXFC558877,2015,INFINITI QX60,"48,989 miles","27
HWY","21
CITY","$23,400"
,,,,,,,,,,,,,,2014,Dodge Journey,"67,613 miles",,,"$12,200"
